name,tagline,topic,description,subscribers,frequency,link
Green Innovations,The latest green tech innovations that will blow your mind.,Tech,The latest green tech innovations that will blow your mind.,0,monthly,https://greeninnovations.substack.com/
Frgmnts,I share pieces of my unfinished poems each week.,Writing,I share pieces of my unfinished poems each week.,0,weekly,https://poetry.bennybowden.com/posts
Arch Nemesis Movie Reviews,"Help me create a new, perfect rating system for movie reviews.",News,"Help me create a new, perfect rating system for movie reviews.",0,weekly,https://archreviews.substack.com/
Slatin,Get unique mixing &amp; mastering tips in your inbox.,Music,Get unique mixing &amp; mastering tips in your inbox.,0,weekly,https://www.slatin.pro/weekly-tip-newsletter/
BuidL,Your go-to for web3 business ideas and resources.,Business,Your go-to for web3 business ideas and resources.,0,weekly,https://buidlnewsletter.beehiiv.com/subscribe
The Practitioner,An invitation to curiosity and inquiry about life and work.,Lifestyle,An invitation to curiosity and inquiry about life and work.,0,weekly,https://amirmehrani.substack.com/
The Mixcast,Get a hand-curated playlist delivered to your inbox twice a month.,Music,Get a hand-curated playlist delivered to your inbox twice a month.,0,biweekly,https://www.themixcast.com/
Creative Biz Pulse,Turn your creativity into a profitable business.,Business,Turn your creativity into a profitable business.,0,weekly,https://creativebizpulse.substack.com/
Women’s Survival Guide,I interview women passionate about what they do.,Lifestyle,I interview women passionate about what they do.,0,weekly,https://womenssurvivalguide.substack.com/
The AI Kitchen,The freshest AI insights weekly.,AI,The freshest AI insights weekly.,0,weekly,https://aikitchen.substack.com/
Crypto Clarity,The latest news &amp; resources in crypto.,Crypto,The latest news &amp; resources in crypto.,0,weekly,https://cryptoclarityweekly.substack.com/
Kanvas.ai,"Discover artists, and learn how to navigate the art market.",Art,"Discover artists, and learn how to navigate the art market.",0,weekly,https://kanvasai.substack.com/
dailydevlinks,"The latest industry trends, news &amp; resources.",Development,"The latest industry trends, news &amp; resources.",0,daily,https://dailydevlinks.com/
Champion Newsletters,The playbooks of the world&rsquo;s best newsletters.,Business,The playbooks of the world&rsquo;s best newsletters.,0,weekly,https://www.andygriffiths.co.uk/
Insights Distilled,"This week’s tech news, filtered for financial services execs.",Tech,"This week’s tech news, filtered for financial services execs.",0,weekly,https://insightsdistilled.com/
The Second Button,"Men&rsquo;s fashion, suits, and more.",Fashion,"Men&rsquo;s fashion, suits, and more.",0,weekly,https://thesecondbutton.com/
Weekly Pal,Digestible insights into business stories for busy people.,Business,Digestible insights into business stories for busy people.,0,weekly,https://weeklypal.substack.com/
Hyperopia,"Foraging for insights in tech, politics and philosophy.",Tech,"Foraging for insights in tech, politics and philosophy.",0,weekly,https://finnjanson.substack.com/
Sociocultural Australis,Australian politics through this Australian’s MMT lens.,Finance,Australian politics through this Australian’s MMT lens.,0,weekly,https://darrenquinn.substack.com/
Bill Bradbury’s fiction,Dystopian sci-fi and speculative fiction with a heart.,Books,Dystopian sci-fi and speculative fiction with a heart.,0,weekly,https://billbradbury.substack.com/
Pop Quiz Me,1 pop culture newsletter each day.,News,1 pop culture newsletter each day.,0,daily,https://popquizme.substack.com/
Coinsprout,Stay up to date on what matters in crypto.,Crypto,Stay up to date on what matters in crypto.,0,weekly,https://coinsprout.com/
Product Party,"PM craft, tech, career growth, and our AI overlords.",Product,"PM craft, tech, career growth, and our AI overlords.",0,weekly,https://productparty.substack.com/
ghostwriter,"The internet, feminism, movies, pop culture.",Culture,"The internet, feminism, movies, pop culture.",0,weekly,https://lauragwaltz.substack.com/
Effective Habits,Actionaable evidence-based strategies and tools.,Productivity,Actionaable evidence-based strategies and tools.,0,weekly,https://www.effectivehabits.org/subscribe
Fresh New Sound,5 new songs in your inbox.,Music,5 new songs in your inbox.,0,weekly,https://www.freshnewsound.org/
Five Things,5 handpicked articles for you.,Politics,5 handpicked articles for you.,0,weekly,https://getfivethings.substack.com/
The Seeker,The best data-driven investment opportunities.,Investing,The best data-driven investment opportunities.,0,weekly,https://quantfactory.substack.com/
Tiny Improvements,Designing & building great products for the web.,Development,Designing & building great products for the web.,0,weekly,https://mikebifulco.com/newsletter
Really?,Fun and interesting facts.,Lifestyle,Fun and interesting facts.,0,weekly,https://really.substack.com/
AnnaGrams,Let&rsquo;s get weird.,Writing,Let&rsquo;s get weird.,0,weekly,https://annapulley.substack.com/
Anchorage Memories VIP Club,"Growing up and living in Anchorage, Alaska.",Culture,"Growing up and living in Anchorage, Alaska.",0,weekly,https://anchoragememories.substack.com/
CROWDSCALE,Educating the next generation of startup investors.,Investing,Educating the next generation of startup investors.,0,weekly,https://crowdscale.substack.com/
Daniele Salatti,Sharing my Operational Playbooks.,Business,Sharing my Operational Playbooks.,0,weekly,https://danielesalatti.com/
Cyborg Girlfriend,"Cultural criticism from a niche, esoteric, posthumanist she/they.",Politics,"Cultural criticism from a niche, esoteric, posthumanist she/they.",0,weekly,https://cyborgirlfriend.substack.com/
Bitcoin,Stay up to date on all the latest Bitcoin news.,Crypto,Stay up to date on all the latest Bitcoin news.,0,weekly,https://mailscribe.com/n/bitcoin
The Arcade Artificer,Learn how the best games entertain their players.,Gaming,Learn how the best games entertain their players.,0,biweekly,https://jboger.substack.com/
What The Hype,Brainstorm ways to build cash-flowing digital assets.,Business,Brainstorm ways to build cash-flowing digital assets.,0,daily,https://whatthehype.beehiiv.com/
One Moment,1 question every day to prompt moments of reflection.,Lifestyle,1 question every day to prompt moments of reflection.,0,daily,https://onemoment.substack.com/
Scroll Sanity,Staying sane in a digital world.,Tech,Staying sane in a digital world.,0,weekly,https://carmellaguiol.substack.com/
Apsis,"Quotes from philosophers, mystics, scientists, and poets.",Philosophy,"Quotes from philosophers, mystics, scientists, and poets.",0,weekly,https://apsis.substack.com/
Gradient Ascent,Level up in machine learning the fun way.,Tech,Level up in machine learning the fun way.,0,weekly,https://newsletter.artofsaience.com/
Rabbit Hole,The best PM articles that make PMs smarter each day.,Product,The best PM articles that make PMs smarter each day.,0,daily,https://itsrabbithole.substack.com/
Football Archaeology,How football&rsquo;s evolution shapes today&rsquo;s game.,Sports,How football&rsquo;s evolution shapes today&rsquo;s game.,0,daily,https://www.footballarchaeology.com/
David Marsh’s Leadership,Get high-quality and actionable leadership tips.,Business,Get high-quality and actionable leadership tips.,0,weekly,https://davidmarsh.substack.com/
Roland’s Travels,"Discovering places, people and history.",Travel,"Discovering places, people and history.",0,weekly,https://www.rolandmillward.com/
Email Moats &amp; GOATs,Profit-boosting strategies + tactics for your business.,Email,Profit-boosting strategies + tactics for your business.,0,weekly,https://www.linkedin.com/newsletters/email-moats-goats-6983072949087989760/
Web3 Alpha Jobs,A bi-weekly list of news and web3 jobs.,Crypto,A bi-weekly list of news and web3 jobs.,0,biweekly,https://www.getrevue.co/profile/metaintro
Photo in Japan,Photo stories once or twice a month.,Art,Photo stories once or twice a month.,0,weekly,https://news.gregjeanneau.com/
Metaintro Developer,Covering crypto news & dev jobs.,Crypto,Covering crypto news & dev jobs.,0,weekly,https://www.getrevue.co/profile/metaintrosdevelopernewsletter
Se Regarder Voir,Witnesses of our view of the world (in French).,Business,Witnesses of our view of the world (in French).,0,weekly,https://www.se-regarder-voir.com/
PodSnacks,It&rsquo;s like Blinkist for podcasts.,Podcasts,It&rsquo;s like Blinkist for podcasts.,0,weekly,https://www.podsnacks.org/
Dosage,Wine enthusiasts wanting the most out of food pairings.,Food,Wine enthusiasts wanting the most out of food pairings.,0,weekly,https://dosage.substack.com/
The Notion Nook,Get the most out of Notion.,Productivity,Get the most out of Notion.,0,weekly,https://alessandrobelli.it/
The Mindful Guerilla,Mental freedom we need for intentional living.,Lifestyle,Mental freedom we need for intentional living.,0,weekly,https://mindfulguerilla.beehiiv.com/
Gem Class,Life hacks + advice from everyday women in your community.,News,Life hacks + advice from everyday women in your community.,0,weekly,https://gemclass.co/
Angeli Sivaraman,"Spirituality, Self-development, Inspiration. Made with love.",Lifestyle,"Spirituality, Self-development, Inspiration. Made with love.",0,weekly,https://angelisivaraman.substack.com/
The Weekly ,Your weekly dose of thoughtfulness.,Lifestyle,Your weekly dose of thoughtfulness.,0,weekly,https://www.lisanneswart.com/join-the-tribe/
Frontend Snacks,"Code snippets, news, and food for thought.",Development,"Code snippets, news, and food for thought.",0,weekly,https://www.frontendsnacks.dev/
Public Sphere,The crisis of democracy in the US & across the globe.,News,The crisis of democracy in the US & across the globe.,0,weekly,https://publicsphere.news/
Casey’s Catch,"A wide net on politics, democracy & the search for balance.",Politics,"A wide net on politics, democracy & the search for balance.",0,weekly,https://maurac.substack.com/
The Bleeders,A podcast + newsletter about writing & publishing.,Books,A podcast + newsletter about writing & publishing.,0,weekly,https://thebleeders.substack.com/
Podcast Bestie,"Jobs, industry info, tips, marketing, and creative inspiration.",Marketing,"Jobs, industry info, tips, marketing, and creative inspiration.",0,weekly,https://podcastbestie.substack.com/
Open Scout,Hand-picked early-stage startups in your inbox.,Startups,Hand-picked early-stage startups in your inbox.,0,weekly,https://openscout.substack.com/
Homo Imaginari,Popular social science thinking for curious folks.,Education,Popular social science thinking for curious folks.,0,weekly,https://jamesrichardson.substack.com/
Extreme Thriving,"Develop resilience, well-being, courage, and personal impact.",Lifestyle,"Develop resilience, well-being, courage, and personal impact.",0,weekly,https://lisabennett.substack.com/
Practical Angular,Get 2 solutions to Angular problems ($1/mo).,Programming,Get 2 solutions to Angular problems ($1/mo).,0,monthly,https://angularmentor.io/practical-angular-newsletter
Charles Williamson,Building things and living life.,Tech,Building things and living life.,0,weekly,https://charleswilliamson.com/
Baking Together,Tools for people who bake and share what they make.,Cooking,Tools for people who bake and share what they make.,0,weekly,https://bakingtogether.com/
Mzungu,Writings on the adversities and splendours during travel.,Travel,Writings on the adversities and splendours during travel.,0,weekly,https://mzungu.substack.com/
The Weekly Dystopia,"News, analysis and opinion on how we got here.",Politics,"News, analysis and opinion on how we got here.",0,weekly,https://weeklydystopia.com/
The Maker Journey,Exploring indie-making and creating a sustainable business.,Creator,Exploring indie-making and creating a sustainable business.,0,weekly,https://themakerjourney.substack.com/
FoundrsHub,Get smarter every week in less than 5 minutes.,Startups,Get smarter every week in less than 5 minutes.,0,weekly,https://foundrshub.com/
DPO,The latest in data protection & privacy law.,Legal,The latest in data protection & privacy law.,0,weekly,https://dponewsletter.com/
Charities Network,Actionable insights from charities and not-for-profit specialists.,Growth,Actionable insights from charities and not-for-profit specialists.,0,weekly,https://charities.network/
Little Bird,5 minutes of French culture in your inbox.,Culture,5 minutes of French culture in your inbox.,0,weekly,https://www.littlebirdtold.me/
Outside the Modern Limits,Philosophy in your email on Sundays.,Philosophy,Philosophy in your email on Sundays.,0,weekly,https://thedailyeudemon.com/
The Charrette,"Where art, history, politics & public opinion meet.",Art,"Where art, history, politics & public opinion meet.",0,weekly,https://www.thecharrette.co/
Lore AI,AI for business and creative work.,AI,AI for business and creative work.,0,weekly,https://lore.com/
Marketing Agency,Helping marketers & entrepreneurs out-market their competition.,Marketing,Helping marketers & entrepreneurs out-market their competition.,0,weekly,https://marketingagency.com/
Income List,Bite-Sized SEO & affiliate marketing lessons in your inbox.,Marketing,Bite-Sized SEO & affiliate marketing lessons in your inbox.,0,weekly,https://incomelist.co/
China Tech Insider,"Big-tech moves, market trends & venture investments across China.",Tech,"Big-tech moves, market trends & venture investments across China.",0,monthly,https://www.kr-europe.co/newsletter
Hardly Hustle,How startups find alignment & balance while building their business.,Business,How startups find alignment & balance while building their business.,0,weekly,https://www.hardlyhustle.com/
Alls Well When Read (and Watched),"A round-up of latest films, shows, and books I&rsquo;ve checked out.",Culture,"A round-up of latest films, shows, and books I&rsquo;ve checked out.",0,weekly,https://connielee.substack.com/
Female Foundry,"Startup news, fundraising tips & investment ecosystem updates.",Startups,"Startup news, fundraising tips & investment ecosystem updates.",0,weekly,https://www.femalefoundry.co/
The Art Of Selling Cannabis,Sharing successful cannabis business stories.,Business,Sharing successful cannabis business stories.,0,weekly,https://www.theartofsellingcannabis.com/
Superfluid,A newsletter about tech and business strategy.,Tech,A newsletter about tech and business strategy.,0,weekly,https://abhim.substack.com/
Chris Lovie-Tyler,Art and faith notes.,Art,Art and faith notes.,0,weekly,https://www.chrislt.art
Open Pull Request,A journey to find new and inspiring open-source libraries.,Development,A journey to find new and inspiring open-source libraries.,0,weekly,https://openpullrequest.substack.com/
Daily Kindle Book Deals,Free & bargain Kindle books in your email.,Books,Free & bargain Kindle books in your email.,0,daily,https://www.northstarreaders.com/
HomeSweet by Chloe,Curated stories & resources to make you a better homeowner.,Finance,Curated stories & resources to make you a better homeowner.,0,weekly,https://www.joinchloe.com/newsletter
1 Tip a Day,Helping NFT owners get the most from their NFTs.,Web3,Helping NFT owners get the most from their NFTs.,0,weekly,https://newsletter.lootrush.com/
Real Estate Investing with Carter,"Real estate, passive income, financial freedom.",Writing,"Real estate, passive income, financial freedom.",0,weekly,https://carterarmendarez.substack.com/
The Bus,Learning is a journey. Enjoy the stops along the way.,Writing,Learning is a journey. Enjoy the stops along the way.,0,weekly,https://thebus.substack.com/
A Podcasters Newsletter,All things podcast industry news.,Lifestyle,All things podcast industry news.,0,weekly,https://sitchradio.substack.com/
Self-Mastery Sunday,"Weekly wisdom, practical guidance & radical candor.",Lifestyle,"Weekly wisdom, practical guidance & radical candor.",0,weekly,https://www.selfmasterysunday.com/
Overnight Success,Just Australian start-ups & venture capital.,Startups,Just Australian start-ups & venture capital.,0,weekly,https://overnightsuccesses.beehiiv.com/
Adventure Fix,"The best outdoor stories, adventure travel inspiration, and more.",Travel,"The best outdoor stories, adventure travel inspiration, and more.",0,weekly,https://adventurefix.co/
Climate Foresight,Climate foresights for the leaders of tomorrow.,Sustainability,Climate foresights for the leaders of tomorrow.,0,weekly,https://www.climateforesight.co/
WebsiteHunt,Get the most useful websites in your inbox weekly.,Productivity,Get the most useful websites in your inbox weekly.,0,weekly,https://www.websitehunt.co/
AI Driven Investing,Gt top stock picks driven by machine learning.,Investing,Gt top stock picks driven by machine learning.,0,daily,https://stockedai.gumroad.com/l/Stockedai
Gorilla Republic,A fictional crime story about a daring African gang in the 70s.,Books,A fictional crime story about a daring African gang in the 70s.,0,daily,https://www.gorillarepublic.co/
The Business Club,"Crypto content, business and personal development.",Crypto,"Crypto content, business and personal development.",0,monthly,https://thebusinessclub.substack.com/
Romantic Audio Club,"Free, romantic audio shorts direct to your inbox.",Books,"Free, romantic audio shorts direct to your inbox.",0,monthly,https://www.romanticaudioclub.com/
Year 2049,Learn about trends &amp; tech shaping our future.,Tech,Learn about trends &amp; tech shaping our future.,0,weekly,https://year2049.substack.com/
Innovation Copilots,We share tools and thought processes on innovation.,Tech,We share tools and thought processes on innovation.,0,weekly,https://www.icopilots.com/
Wylderr,A free local guide to living a more sustainable life.,Sustainability,A free local guide to living a more sustainable life.,0,weekly,https://www.wylderr.com/
The Addict Breaker,Useful tips for breaking your addiction.,Lifestyle,Useful tips for breaking your addiction.,0,weekly,https://www.djiometiofranck.com/newsletter/
J.R. Heimbigner Writes,The pursuit of writing and becoming an author.,Writing,The pursuit of writing and becoming an author.,0,weekly,https://jrheimbigner.substack.com/
G.A.S. Newsletter,"Asking music makers about their gear 🎛, creativity 🎶 and life.",Music,"Asking music makers about their gear 🎛, creativity 🎶 and life.",0,weekly,https://gasnewsletter.beehiiv.com/
Boiled Not Fried,Just enough for today to boil it down.,Finance,Just enough for today to boil it down.,0,daily,https://boilednotfried.com/
Your Brand(ing) letter,An investigation of what branding is and how it is perceived.,Design,An investigation of what branding is and how it is perceived.,0,weekly,https://yourbrandingletter.substack.com/
Rabbit Ideas,Curated resources for self improvement and productivity.,Lifestyle,Curated resources for self improvement and productivity.,0,weekly,https://newsletter.rabbitideas.online/
Why We Buy,Learn buyer psychology in 3 minutes a week.,Marketing,Learn buyer psychology in 3 minutes a week.,0,weekly,https://customercamp.co/why-we-buy/
An unusual life,"The uncommon life of a housesitter, hiker, and writer.",Lifestyle,"The uncommon life of a housesitter, hiker, and writer.",0,weekly,https://dennisvigazzz.substack.com/
"Say, Oh Say!",Book reviews and interesting internet discoveries.,Books,Book reviews and interesting internet discoveries.,0,weekly,https://sayohsay.substack.com/
Weekly Recon,Keeping you informed on all things Video Games and Esports.,Gaming,Keeping you informed on all things Video Games and Esports.,0,weekly,https://www.weeklyrecon.com/
Curated by Eunice 💁🏻‍♀️,"Weekly Web3 news, monthly founder thoughts.",Startups,"Weekly Web3 news, monthly founder thoughts.",0,weekly,https://eunicewang.substack.com/
All Things Digital Marketing,Quality tips business owners and marketing departments need.,Marketing,Quality tips business owners and marketing departments need.,0,weekly,https://www.getrevue.co/profile/digital_cobweb
Wild Money,Investing with a focus on the USA and European market.,Finance,Investing with a focus on the USA and European market.,0,weekly,https://wildmoney.substack.com/
QueerAF,Understand the ever-changing queer world.,News,Understand the ever-changing queer world.,0,weekly,https://www.wearequeeraf.com/subscribe/
Goldview,"Daily highlights in economics, investing & business.",Business,"Daily highlights in economics, investing & business.",0,daily,https://www.goldview.co/
AWS Graviton Weekly,5 resources of AWS Graviton2 and Graviton3.,Tech,5 resources of AWS Graviton2 and Graviton3.,0,weekly,https://awsgravitonweekly.com/
The Actor&amp;rsquo;s Dojo,Empowering actors to empower themselves.,Art,Empowering actors to empower themselves.,0,weekly,https://www.dojoactors.com/
Finstock,"Engaging articles, stellar music, happy hour-worthy cocktails and more.",News,"Engaging articles, stellar music, happy hour-worthy cocktails and more.",0,weekly,https://gearmoose.com/finstock-email-newsletter/
Branding for Solopreneurs,Build your brand the simple way in a 3-minute read each week.,Marketing,Build your brand the simple way in a 3-minute read each week.,0,weekly,https://robert.beehiiv.com/subscribe
Reputation Notes,Lessons about communication and solutions.,Business,Lessons about communication and solutions.,0,weekly,https://reputation.substack.com/
ToolsForCrypto,Get updates on the latest crypto projects and tools.,Crypto,Get updates on the latest crypto projects and tools.,0,daily,https://toolsforcrypto.substack.com/
How I Trello,"Trello ideas, tips, best practices, and more.",Tech,"Trello ideas, tips, best practices, and more.",0,weekly,https://trello.substack.com/
Inside My Mind,Behind-the-scenes look into building a business.,Business,Behind-the-scenes look into building a business.,0,weekly,https://insidemymind.substack.com/
The Similitude,"I write about culture, politics, and religion.",Culture,"I write about culture, politics, and religion.",0,weekly,https://nickcoccoma.substack.com/
Paywall Newsletter,Hand-picked selection of hot mobile paywalls.,Marketing,Hand-picked selection of hot mobile paywalls.,0,monthly,https://newsletter.adapty.io/paywall-newsletter-by-adapty
Your creative letter,"I share tips, life experiences, inspiration and motivation.",Creator,"I share tips, life experiences, inspiration and motivation.",0,monthly,https://yourcreativeletter.substack.com/
Focus Group Alerts,Get paid on average $100/hour for your opinions.,Product,Get paid on average $100/hour for your opinions.,0,daily,https://www.focusgroupalerts.com/
Where To Post,"Bite-sized, actionable advice to promote your business.",Marketing,"Bite-sized, actionable advice to promote your business.",0,weekly,https://wheretopost.email/
The Quip,"Daily thoughts on marketing, passion, and business.",Marketing,"Daily thoughts on marketing, passion, and business.",0,daily,https://codywtucker.com/
Britain by Thumb,Reviving the lost art of hitchhiking.,Travel,Reviving the lost art of hitchhiking.,0,weekly,https://nicolethbridge.substack.com/
The Afford,Earn more. Invest better. Live Free.,Finance,Earn more. Invest better. Live Free.,0,weekly,https://www.theafford.com/
Growing Products,A weekly essay that helps your product to grow.,Product,A weekly essay that helps your product to grow.,0,weekly,https://growingproducts.substack.com/
DailyNata,Learn Portuguese in one sentence a day.,Language,Learn Portuguese in one sentence a day.,0,daily,https://dailynata.com/
Greek Cuisine &amp; Culture,A journey through the world of Greek cooking & culture.,Cooking,A journey through the world of Greek cooking & culture.,0,weekly,https://georgepolatidis.substack.com/
better by design,Strategies and tactics for designing digital products.,Design,Strategies and tactics for designing digital products.,0,weekly,https://itspatmorgan.substack.com/
Better Designed,"The intersection of design, product, and liberal arts.",Design,"The intersection of design, product, and liberal arts.",0,weekly,https://betterdesigned.substack.com/
Green &amp; Salty,Solutions everyone can use to help with climate change.,Sustainability,Solutions everyone can use to help with climate change.,0,weekly,https://greenandsalty.substack.com/
Deal Streat Asia,"The most significant news from SE Asia, India, and China.",Business,"The most significant news from SE Asia, India, and China.",0,daily,https://www.dealstreetasia.com/newsletters
Future News &amp; Media,Analysis on innovation and developments in the news media.,Business,Analysis on innovation and developments in the news media.,0,weekly,https://www.news-future.com/
Newsletter Story,How the smartest writers craft & grow newsletters.,Creator,How the smartest writers craft & grow newsletters.,0,weekly,https://www.newsletterstory.com/
Attempted Thoughts,Tracing geopolitics to movements in the financial markets.,Investing,Tracing geopolitics to movements in the financial markets.,0,weekly,https://www.attemptedthoughts.com/
Bigger Than a Body,"Find peace with how you eat, move, and view your body.",Health,"Find peace with how you eat, move, and view your body.",0,weekly,https://biggerthanabody.com/
Chapter 23,Learn about writing and how to succeed as an artist.,Writing,Learn about writing and how to succeed as an artist.,0,weekly,https://jamesgarside.substack.com/
Brain &amp; Mental Health,Holistic brain & mental health in 5 dimensions.,Mental health,Holistic brain & mental health in 5 dimensions.,0,weekly,https://docchristine.com/
The Metamorphosis,"Where race, culture & media drives the discussion.",Culture,"Where race, culture & media drives the discussion.",0,weekly,https://walterharrisgavin.substack.com/
